"symbol","uniprot","ensembl","entrez","name","score","nsirna"
"LIN9","Q5TKA1","ENSG00000183814",286826,"Protein lin-9 homolog",3.67497604474699,1
"ZNF141","Q15928","ENSG00000131127",7700,"Zinc finger protein 141",2.43408294557811,1
"EVI5L","Q96CN4","ENSG00000142459",115704,"EVI5-like protein",2.23073413457794,1
"ARVCF","O00192","ENSG00000099889",421,"Armadillo repeat protein deleted in velo-cardio-facial syndrome",2.13456815016972,1
"APOB","P04114","ENSG00000084674",338,"Apolipoprotein B-100",1.713711998488,1
"KIF17","Q9P2E2","ENSG00000117245",57576,"Kinesin-like protein KIF17",1.7064647916696,1
"VPS26A","O75436","ENSG00000122958",9559,"Vacuolar protein sorting-associated protein 26A",1.62621208322915,1
"GJB2","P29033","ENSG00000165474",2706,"Gap junction beta-2 protein",1.61600167688895,1
"RECQL5","O94762","ENSG00000108469",9400,"ATP-dependent DNA helicase Q5",1.56269979056345,1
"IL24","Q13007","ENSG00000162892",11009,"Interleukin-24",1.56195095011153,1
"ACSBG2","Q5FVE4","ENSG00000130377",81616,"Long-chain-fatty-acid--CoA ligase ACSBG2",1.42125105138403,1
"FOLR2","P14207","ENSG00000165457",2350,"Folate receptor beta",1.3995068929268,1
"LRRK1","Q38SD2","ENSG00000154237",79705,"Leucine-rich repeat serine/threonine-protein kinase 1",1.34479930901386,1
"CLDN4","O14493","ENSG00000189143",1364,"Claudin-4",1.33349925102027,1
"CPZ","Q66K79","ENSG00000109625",8532,"Carboxypeptidase Z",1.29983062578927,1
"ADAMTS6","Q9UKP5","ENSG00000049192",11174,"A disintegrin and metalloproteinase with thrombospondin motifs 6",1.29964885376421,1
"NOVA1","P51513","ENSG00000139910",4857,"RNA-binding protein Nova-1",1.29498847244013,1
"OXSR1","O95747","ENSG00000172939",9943,"Serine/threonine-protein kinase OSR1",1.27789923217042,1
"PCDHB2","Q9Y5E7","ENSG00000112852",56133,"Protocadherin beta-2",1.2752408426377,1
"ISL2","Q96A47","ENSG00000159556",64843,"Insulin gene enhancer protein ISL-2",1.22824218865652,1
"NTNG2","Q96CW9","ENSG00000196358",84628,"Netrin-G2",1.22670779732461,1
"CREBBP","Q92793","ENSG00000005339",1387,"CREB-binding protein",1.22091894856426,1
"TPK1","Q9H3S4","ENSG00000196511",27010,"Thiamin pyrophosphokinase 1",1.1809312583361,1
"DCSTAMP","Q9H295","ENSG00000164935",81501,"Dendritic cell-specific transmembrane protein",1.1416574878219,1
"CITED2","Q99967","ENSG00000164442",10370,"Cbp/p300-interacting transactivator 2",1.09843731716014,1
"COL5A1","P20908","ENSG00000130635",1289,"Collagen alpha-1(V) chain",1.0961752597132,1
"SLC30A1","Q9Y6M5","ENSG00000170385",7779,"Zinc transporter 1",1.07967645679416,1
"CCL27","Q9Y4X3","ENSG00000213927",10850,"C-C motif chemokine 27",1.07925167574546,1
"STYK1","Q6J9G0","ENSG00000060140",55359,"Tyrosine-protein kinase STYK1",1.0552320750286,1
"CYSLTR2","Q9NS75","ENSG00000152207",57105,"Cysteinyl leukotriene receptor 2",1.05087072485667,1
"LDLRAD3","Q86YD5","ENSG00000179241",143458,"Low-density lipoprotein receptor class A domain-containing protein 3",1.04309067618059,1
"QRSL1","Q9H0R6","ENSG00000130348",55278,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",1.03379412858095,1
"GUCY2D","Q02846","ENSG00000132518",3000,"Retinal guanylyl cyclase 1",1.01348693100155,1
"ZNF384","Q8TF68","ENSG00000126746",171017,"Zinc finger protein 384",1.00891328684799,1
"HELLS","Q9NRZ9","ENSG00000119969",3070,"Lymphoid-specific helicase",1.00774583520282,1
