"symbol","uniprot","ensembl","entrez","name","signature"
NA,NA,NA,NA,NA,"NEDD8+C18"
"FAM90A1","Q86YD7","ENSG00000171847",55138,"Protein FAM90A1","NEDD8+C18"
"IFNB1","P01574","ENSG00000171855",3456,"Interferon beta","NEDD8+C18"
"OPN1LW","P04000","ENSG00000102076",5956,"Long-wave-sensitive opsin 1","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"GRIA2","P42262","ENSG00000120251",2891,"Glutamate receptor 2","NEDD8+C18"
"KRTAP5-7","Q6L8G8","ENSG00000244411",440050,"Keratin-associated protein 5-7","NEDD8+C18"
"DNAJB9","Q9UBS3","ENSG00000128590",4189,"DnaJ homolog subfamily B member 9","NEDD8+C18"
"CYLC2","Q14093","ENSG00000155833",1539,"Cylicin-2","NEDD8+C18"
"CCL7","P80098","ENSG00000108688",6354,"C-C motif chemokine 7","NEDD8+C18"
"CA1","P00915","ENSG00000133742",759,"Carbonic anhydrase 1","NEDD8+C18"
"GPR26","Q8NDV2","ENSG00000154478",2849,"G-protein coupled receptor 26","NEDD8+C18"
"GAGE12J","A6NER3","ENSG00000224659",26749,"G antigen 12J","NEDD8+C18"
"NEK5","Q6P3R8","ENSG00000197168",341676,"Serine/threonine-protein kinase Nek5","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"TIGD3","Q6B0B8","ENSG00000173825",220359,"Tigger transposable element-derived protein 3","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"OR13H1","Q8NG92","ENSG00000171054",347468,"Olfactory receptor 13H1","NEDD8+C18"
"DEFA3","P59666","ENSG00000239839",1668,"Neutrophil defensin 3","NEDD8+C18"
"NPC1L1","Q9UHC9","ENSG00000015520",29881,"NPC1-like intracellular cholesterol transporter 1","NEDD8+C18"
"TRPM6","Q9BX84","ENSG00000119121",140803,"Transient receptor potential cation channel subfamily M member 6","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"MBOAT4","Q96T53","ENSG00000177669",619373,"Ghrelin O-acyltransferase","NEDD8+C18"
"PTX3","P26022","ENSG00000163661",5806,"Pentraxin-related protein PTX3","NEDD8+C18"
"CXCL10","P02778","ENSG00000169245",3627,"C-X-C motif chemokine 10","NEDD8+C18"
"PLA2G1B","P04054","ENSG00000170890",5319,"Phospholipase A2","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"DOC2B","Q14184","ENSG00000272636",8447,"Double C2-like domain-containing protein beta","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"ABCA13","Q86UQ4","ENSG00000179869",154664,"ATP-binding cassette sub-family A member 13","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"CHST2","Q9Y4C5","ENSG00000175040",9435,"Carbohydrate sulfotransferase 2","NEDD8+C18"
"ZNF534","Q76KX8","ENSG00000198633",147658,"Zinc finger protein 534","NEDD8+C18"
"CYP4F22","Q6NT55","ENSG00000171954",126410,"Cytochrome P450 4F22","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"SIGLEC8","Q9NYZ4","ENSG00000105366",27181,"Sialic acid-binding Ig-like lectin 8","NEDD8+C18"
"GAL3ST1","Q99999","ENSG00000128242",9514,"Galactosylceramide sulfotransferase","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"GLP1R","P43220","ENSG00000112164",2740,"Glucagon-like peptide 1 receptor","NEDD8+C18"
"NEDD8","Q15843","ENSG00000285246",4738,"NEDD8","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"OR10G8","Q8NGN5","ENSG00000234560",219869,"Olfactory receptor 10G8","NEDD8+C18"
"RARRES1","P49788","ENSG00000118849",5918,"Retinoic acid receptor responder protein 1","NEDD8+C18"
"PLAT","P00750","ENSG00000104368",5327,"Tissue-type plasminogen activator","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"ACMSD","Q8TDX5","ENSG00000153086",130013,"2-amino-3-carboxymuconate-6-semialdehyde decarboxylase","NEDD8+C18"
"KRT5","P13647","ENSG00000186081",3852,"Keratin, type II cytoskeletal 5","NEDD8+C18"
"REEP5","Q00765","ENSG00000129625",7905,"Receptor expression-enhancing protein 5","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"GPC4","O75487","ENSG00000076716",2239,"Glypican-4","NEDD8+C18"
"UGP2","Q16851","ENSG00000169764",7360,"UTP--glucose-1-phosphate uridylyltransferase","NEDD8+C18"
"C18orf32","Q8TCD1","ENSG00000177576",497661,"UPF0729 protein C18orf32","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"KLK6","Q92876","ENSG00000167755",5653,"Kallikrein-6","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"PXT1","Q8NFP0","ENSG00000179165",222659,"Peroxisomal testis-specific protein 1","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"PRR23B","Q6ZRT6","ENSG00000184814",389151,"Proline-rich protein 23B","NEDD8+C18"
"TBPL2","Q6SJ96","ENSG00000182521",387332,"TATA box-binding protein-like 2","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"RTL8C","A6ZKI3","ENSG00000134590",8933,"Retrotransposon Gag-like protein 8C","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"KRTAP9-3","Q9BYQ3","ENSG00000262749",83900,"Keratin-associated protein 9-3","NEDD8+C18"
"PDIK1L","Q8N165","ENSG00000175087",149420,"Serine/threonine-protein kinase PDIK1L","NEDD8+C18"
"GALNT2","Q10471","ENSG00000143641",2590,"Polypeptide N-acetylgalactosaminyltransferase 2","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
