"symbol","uniprot","ensembl","entrez","name"
"CCT4","P50991","ENSG00000115484",10575,NA
"CCT5","P48643","ENSG00000150753",22948,NA
"CCT2","P78371","ENSG00000166226",10576,NA
"TUBB3","Q13509","ENSG00000258947",10381,NA
"TUBB1","Q9H4B7","ENSG00000101162",81027,NA
"TUBB6","Q9BUF5","ENSG00000176014",84617,NA
"UGGT1","Q9NYU2","ENSG00000136731",56886,NA
"HSPD1","P10809","ENSG00000144381",3329,NA
"CAD","P27708","ENSG00000084774",790,NA
"LPCAT1","Q8NF37","ENSG00000153395",79888,NA
"PPP1R12A","O14974","ENSG00000058272",4659,NA
"CBR1","P16152","ENSG00000159228",873,NA
"HSD17B4","P51659","ENSG00000133835",3295,NA
"TARDBP","Q13148","ENSG00000120948",23435,NA
"RPL5","P46777","ENSG00000122406",6125,NA
"PFKL","P17858","ENSG00000141959",5211,NA
"SRP14","P37108","ENSG00000140319",6727,NA
"POF1B","Q8WVV4","ENSG00000124429",79983,NA
"PFN1","P07737","ENSG00000108518",5216,NA
"ACTN1","P12814","ENSG00000072110",87,NA
"PAWR","Q96IZ0","ENSG00000177425",5074,NA
"SPTBN1","Q01082","ENSG00000115306",6711,NA
"DBN1","Q16643","ENSG00000113758",1627,NA
"DSTN","P60981","ENSG00000125868",11034,NA
"CAP1","Q01518","ENSG00000131236",10487,NA
"CNN2","Q99439","ENSG00000064666",1265,NA
"LIMCH1","Q9UPQ0","ENSG00000064042",22998,NA
"VCL","P18206","ENSG00000035403",7414,NA
"EMD","P50402","ENSG00000102119",2010,NA
"TPM1","P09493","ENSG00000140416",7168,NA
"TPM4","P67936","ENSG00000167460",7171,NA
"PLEC","Q15149","ENSG00000178209",5339,NA
"FLII","Q13045","ENSG00000284571",2314,NA
"ARPC5L","Q9BPX5","ENSG00000136950",81873,NA
"TMOD3","Q9NYL9","ENSG00000138594",29766,NA
"TPM2","P07951","ENSG00000198467",7169,NA
"MARCKS","P29966","ENSG00000277443",4082,NA
"CTNNA1","P35221","ENSG00000044115",1495,NA
"HAX1","O00165","ENSG00000143575",10456,NA
"LIMA1","Q9UHB6","ENSG00000050405",51474,NA
"FSCN1","Q16658","ENSG00000075618",6624,NA
"ACTN4","O43707","ENSG00000282844",81,NA
"MYL6","P60660","ENSG00000092841",4637,NA
"SERPINA1","P01009","ENSG00000197249",5265,NA
"AHCY","P23526","ENSG00000101444",191,NA
"GRPEL1","Q9HAV7","ENSG00000109519",80273,NA
"MYH9","P35579","ENSG00000100345",4627,NA
"MYH10","P35580","ENSG00000133026",4628,NA
"MYO6","Q9UM54","ENSG00000196586",4646,NA
"UQCRC2","P22695","ENSG00000140740",7385,NA
"UQCRC1","P31930","ENSG00000010256",7384,NA
"ALDH1B1","P30837","ENSG00000137124",219,NA
"ANXA1","P04083","ENSG00000135046",301,NA
"VTN","P04004","ENSG00000109072",7448,NA
"ERAP1","Q9NZ08","ENSG00000164307",51752,NA
