"symbol","uniprot","ensembl","entrez","name"
"MYH9","P35579","ENSG00000100345",4627,"Myosin-9"
"ACTG1","P63261","ENSG00000184009",71,"Actin, cytoplasmic 2"
"MYH10","P35580","ENSG00000133026",4628,"Myosin-10"
"CFTR","P13569","ENSG00000001626",1080,"Cystic fibrosis transmembrane conductance regulator"
"MYH14","Q7Z406","ENSG00000105357",79784,"Myosin-14"
"POTEE","Q6S8J3","ENSG00000188219",445582,"POTE ankyrin domain family member E"
"MYO1B","O43795","ENSG00000128641",4430,"Unconventional myosin-Ib"
"ACTA1","P68133","ENSG00000143632",58,"Actin, alpha skeletal muscle"
"MYL12A","P19105","ENSG00000101608",10627,"Myosin regulatory light chain 12A"
"MYL9","P24844","ENSG00000101335",10398,"Myosin regulatory light polypeptide 9"
"HSPA9","P38646","ENSG00000113013",3313,"Stress-70 protein, mitochondrial"
"ACTB","P60709","ENSG00000075624",60,"Actin, cytoplasmic 1"
"KRT1","P04264","ENSG00000167768",3848,"Keratin, type II cytoskeletal 1"
"MYH11","P35749","ENSG00000276480",4629,"Myosin-11"
"KRT10","P13645","ENSG00000186395",3858,"Keratin, type I cytoskeletal 10"
"MYO1C","O00159","ENSG00000197879",4641,"Unconventional myosin-Ic"
"MYL6","P60660","ENSG00000092841",4637,"Myosin light polypeptide 6"
NA,"P62158",NA,NA,NA
"TUBB","P07437","ENSG00000235067",203068,"Tubulin beta chain"
"ACTBL2","Q562R1","ENSG00000169067",345651,"Beta-actin-like protein 2"
"KRT2","P35908","ENSG00000172867",3849,"Keratin, type II cytoskeletal 2 epidermal"
"HSPA5","P11021","ENSG00000044574",3309,"Endoplasmic reticulum chaperone BiP"
"MYO1D","O94832","ENSG00000176658",4642,"Unconventional myosin-Id"
"POTEF","A5A3E0","ENSG00000196604",728378,"POTE ankyrin domain family member F"
"MYO6","Q9UM54","ENSG00000196586",4646,"Unconventional myosin-VI"
"KRT9","P35527","ENSG00000171403",3857,"Keratin, type I cytoskeletal 9"
"TUBB4B","P68371","ENSG00000188229",10383,"Tubulin beta-4B chain"
"SPECC1L","Q69YQ0","ENSG00000100014",23384,"Cytospin-A"
"TUBB3","Q13509","ENSG00000258947",10381,"Tubulin beta-3 chain"
"TUBB6","Q9BUF5","ENSG00000176014",84617,"Tubulin beta-6 chain"
"TUBB2B","Q9BVA1","ENSG00000137285",347733,"Tubulin beta-2B chain"
"KRT8","P05787","ENSG00000170421",3856,"Keratin, type II cytoskeletal 8"
"TUBA4A","P68366","ENSG00000127824",7277,"Tubulin alpha-4A chain"
"CAPZA1","P52907","ENSG00000116489",829,"F-actin-capping protein subunit alpha-1"
