"symbol","uniprot","ensembl","entrez","name"
"YWHAQ","P27348","ENSG00000134308",10971,"14-3-3 protein theta"
"YWHAZ","P63104","ENSG00000164924",7534,"14-3-3 protein zeta/delta"
"SFTPD","P35247","ENSG00000133661",6441,"Pulmonary surfactant-associated protein D"
"CDK2","P24941","ENSG00000123374",1017,"Cyclin-dependent kinase 2"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"ABCA13","Q86UQ4","ENSG00000179869",154664,"ATP-binding cassette sub-family A member 13"
"ABCF1","Q8NE71","ENSG00000236149",23,"ATP-binding cassette sub-family F member 1"
"ABCF3","Q9NUQ8","ENSG00000161204",55324,"ATP-binding cassette sub-family F member 3"
"ACIN1","Q9UKV3","ENSG00000100813",22985,"Apoptotic chromatin condensation inducer in the nucleus"
"ACSL3","O95573","ENSG00000123983",2181,"Long-chain-fatty-acid--CoA ligase 3"
"ACSL4","O60488","ENSG00000068366",2182,"Long-chain-fatty-acid--CoA ligase 4"
"ACTBL2","Q562R1","ENSG00000169067",345651,"Beta-actin-like protein 2"
"ACTC1","P68032","ENSG00000159251",70,"Actin, alpha cardiac muscle 1"
"ACTG1","P63261","ENSG00000184009",71,"Actin, cytoplasmic 2"
"ACTN1","P12814","ENSG00000072110",87,"Alpha-actinin-1"
"ACTN4","O43707","ENSG00000282844",81,"Alpha-actinin-4"
"AFDN","P55196","ENSG00000130396",4301,"Afadin"
"AFF4","Q9UHB7","ENSG00000072364",27125,"AF4/FMR2 family member 4"
"AGRN","O00468","ENSG00000188157",375790,"Agrin"
"INA","Q16352","ENSG00000148798",9118,"Alpha-internexin"
"PALM2AKAP2","Q9Y2D5","ENSG00000157654",445815,"A-kinase anchor protein 2"
"AKAP9","Q99996","ENSG00000127914",10142,"A-kinase anchor protein 9"
"ANKHD1","Q8IWZ3","ENSG00000131503",54882,"Ankyrin repeat and KH domain-containing protein 1"
"ANXA2","P07355","ENSG00000182718",302,"Annexin A2"
"AP1G1","O43747","ENSG00000166747",164,"AP-1 complex subunit gamma-1"
"AP2B1","P63010","ENSG00000006125",163,"AP-2 complex subunit beta"
"AQR","O60306","ENSG00000021776",9716,"RNA helicase aquarius"
"ARPC1A","Q92747","ENSG00000241685",10552,"Actin-related protein 2/3 complex subunit 1A"
"ARHGEF40","Q8TER5","ENSG00000165801",55701,"Rho guanine nucleotide exchange factor 40"
"ARHGEF1","Q92888","ENSG00000076928",9138,"Rho guanine nucleotide exchange factor 1"
"ARID1A","O14497","ENSG00000117713",8289,"AT-rich interactive domain-containing protein 1A"
"ACTR3","P61158","ENSG00000115091",10096,"Actin-related protein 3"
"ARPC2","O15144","ENSG00000163466",10109,"Actin-related protein 2/3 complex subunit 2"
"ASCC3","Q8N3C0","ENSG00000112249",10973,"Activating signal cointegrator 1 complex subunit 3"
"ASPH","Q12797","ENSG00000198363",444,"Aspartyl/asparaginyl beta-hydroxylase"
"ASPH","Q12797","ENSG00000198363",444,"Aspartyl/asparaginyl beta-hydroxylase"
"ASPM","Q8IZT6","ENSG00000066279",259266,"Abnormal spindle-like microcephaly-associated protein"
"ATP1A1","P05023","ENSG00000163399",476,"Sodium/potassium-transporting ATPase subunit alpha-1"
