"symbol","uniprot","ensembl","entrez","name"
"CFTR","P13569","ENSG00000001626",1080,"Cystic fibrosis transmembrane conductance regulator"
"CSTB","P04080","ENSG00000160213",1476,"Cystatin-B"
"ELOB","Q15370","ENSG00000103363",6923,"Elongin-B"
NA,"P70168",NA,NA,"Importin subunit beta-1"
"S100A9","P06702","ENSG00000163220",6280,"Protein S100-A9"
NA,"P68040",NA,NA,"Receptor of activated protein C kinase 1"
"HSP90AB1","P08238","ENSG00000096384",3326,"Heat shock protein HSP 90-beta"
"PSME2","Q9UL46","ENSG00000284889",5721,"Proteasome activator complex subunit 2"
"LGALS3","P17931","ENSG00000131981",3958,"Galectin-3"
NA,"P45592",NA,NA,"Cofilin-1"
"S100A7","P31151","ENSG00000143556",6278,"Protein S100-A7"
"TFG","Q92734","ENSG00000114354",10342,"Protein TFG"
NA,"P20029",NA,NA,"Endoplasmic reticulum chaperone BiP"
"RCN2","Q14257","ENSG00000117906",5955,"Reticulocalbin-2"
"THEM6","Q8WUY1","ENSG00000130193",51337,"Protein THEM6"
NA,"P11499",NA,NA,"Heat shock protein HSP 90-beta"
"SQOR","Q9Y6N5","ENSG00000137767",58472,"Sulfide:quinone oxidoreductase, mitochondrial"
"RCN1","Q15293","ENSG00000049449",5954,"Reticulocalbin-1"
"CSE1L","P55060","ENSG00000124207",1434,"Exportin-2"
"SLC9A3R2","Q15599","ENSG00000065054",9351,"Na(+)/H(+) exchange regulatory cofactor NHE-RF2"
"HSPD1","P10809","ENSG00000144381",3329,"60 kDa heat shock protein, mitochondrial"
"HSPA1L","P34931","ENSG00000236251",3305,"Heat shock 70 kDa protein 1-like"
NA,"Q9ERK4",NA,NA,"Exportin-2"
"HSPA2","P54652","ENSG00000126803",3306,"Heat shock-related 70 kDa protein 2"
"PPP2R1A","P30153","ENSG00000105568",5518,"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"
"AHSA1","O95433","ENSG00000100591",10598,"Activator of 90 kDa heat shock protein ATPase homolog 1"
"SPTLC1","O15269","ENSG00000090054",10558,"Serine palmitoyltransferase 1"
"CALU","O43852","ENSG00000128595",813,"Calumenin"
"PPP2CA","P67775","ENSG00000113575",5515,"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform"
"UBB","P0CG47","ENSG00000170315",7314,"Polyubiquitin-B"
"XPO1","O14980","ENSG00000082898",7514,"Exportin-1"
"AIFM1","O95831","ENSG00000156709",9131,"Apoptosis-inducing factor 1, mitochondrial"
"DNAJA1","P31689","ENSG00000086061",3301,"DnaJ homolog subfamily A member 1"
NA,"P63036",NA,NA,"DnaJ homolog subfamily A member 1"
"IPO7","O95373","ENSG00000205339",10527,"Importin-7"
NA,"P0CG49",NA,NA,"Polyubiquitin-B"
NA,"P14659",NA,NA,"Heat shock-related 70 kDa protein 2"
"HSPA6","P17066","ENSG00000173110",3310,"Heat shock 70 kDa protein 6"
NA,"P48678",NA,NA,"Prelamin-A/C"
"UBE3A","Q05086","ENSG00000114062",7337,"Ubiquitin-protein ligase E3A"
"PSMD2","Q13200","ENSG00000175166",5708,"26S proteasome non-ATPase regulatory subunit 2"
"B3GNT9","Q6UX72","ENSG00000237172",84752,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"
NA,"Q63429",NA,NA,"Polyubiquitin-C"
"TMEM43","Q9BTV4","ENSG00000170876",79188,"Transmembrane protein 43"
"BCR","P11274","ENSG00000186716",613,"Breakpoint cluster region protein"
"RYR2","Q92736","ENSG00000198626",6262,"Ryanodine receptor 2"
