"symbol","uniprot","ensembl","entrez","name"
"CFTR","P13569","ENSG00000001626",1080,"Cystic fibrosis transmembrane conductance regulator"
NA,"P70168",NA,NA,"Importin subunit beta-1"
NA,"Q05186",NA,NA,"Reticulocalbin-1"
"HSPA8","P11142","ENSG00000109971",3312,"Heat shock cognate 71 kDa protein"
"DNAJA1","P31689","ENSG00000086061",3301,"DnaJ homolog subfamily A member 1"
"AHSA1","O95433","ENSG00000100591",10598,"Activator of 90 kDa heat shock protein ATPase homolog 1"
"IPO7","O95373","ENSG00000205339",10527,"Importin-7"
NA,"P20029",NA,NA,"Endoplasmic reticulum chaperone BiP"
"CFL1","P23528","ENSG00000172757",1072,"Cofilin-1"
"DNAJA2","O60884","ENSG00000069345",10294,"DnaJ homolog subfamily A member 2"
"PPP2CA","P67775","ENSG00000113575",5515,"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform"
"CSE1L","P55060","ENSG00000124207",1434,"Exportin-2"
"PPP2R2A","P63151","ENSG00000221914",5520,"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform"
NA,"Q9ERK4",NA,NA,"Exportin-2"
NA,"Q8BP39",NA,NA,"Uncharacterized protein"
"RCN1","Q15293","ENSG00000049449",5954,"Reticulocalbin-1"
NA,"P11499",NA,NA,"Heat shock protein HSP 90-beta"
NA,"P70441",NA,NA,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1"
"RACK1","P63244","ENSG00000204628",10399,"Receptor of activated protein C kinase 1"
"RCN2","Q14257","ENSG00000117906",5955,"Reticulocalbin-2"
NA,"P14069",NA,NA,"Protein S100-A6"
NA,"Q99M87",NA,NA,"DnaJ homolog subfamily A member 3, mitochondrial"
"SEPTIN11","Q9NVA2","ENSG00000138758",55752,"Septin-11"
NA,"O89023",NA,NA,"Tripeptidyl-peptidase 1"
"RANBP1","P43487","ENSG00000099901",5902,"Ran-specific GTPase-activating protein"
NA,"P61750",NA,NA,"ADP-ribosylation factor 4"
"XPO1","O14980","ENSG00000082898",7514,"Exportin-1"
"PPP2R1B","P30154","ENSG00000137713",5519,"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform"
"ATP2A2","P16615","ENSG00000174437",488,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"
NA,"Q9JJ19",NA,NA,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1"
"CCT3","P49368","ENSG00000163468",7203,"T-complex protein 1 subunit gamma"
NA,"P80316",NA,NA,"T-complex protein 1 subunit epsilon"
NA,"P0CG49",NA,NA,"Polyubiquitin-B"
NA,"A0A0H2UHA6",NA,NA,"Transmembrane protein 33"
"SEC61A1","P61619","ENSG00000058262",29927,"Protein transport protein Sec61 subunit alpha isoform 1"
NA,"Q9D071",NA,NA,"MMS19 nucleotide excision repair protein homolog"
"BAG2","O95816","ENSG00000112208",9532,"BAG family molecular chaperone regulator 2"
"CANX","P27824","ENSG00000283777",821,"Calnexin"
"TNPO3","Q9Y5L0","ENSG00000064419",23534,"Transportin-3"
NA,"Q80VJ2",NA,NA,"Steroid receptor RNA activator 1"
NA,"P11983",NA,NA,"T-complex protein 1 subunit alpha"
"HSPA1A","P0DMV8","ENSG00000237724",3303,"Heat shock 70 kDa protein 1A"
"NRIP3","Q9NQ35","ENSG00000175352",56675,"Nuclear receptor-interacting protein 3"
"RHOT1","Q8IXI2","ENSG00000126858",55288,"Mitochondrial Rho GTPase 1"
"HSPA2","P54652","ENSG00000126803",3306,"Heat shock-related 70 kDa protein 2"
"CALU","O43852","ENSG00000128595",813,"Calumenin"
"CCT4","P50991","ENSG00000115484",10575,"T-complex protein 1 subunit delta"
"NPEPPS","P55786","ENSG00000141279",9520,"Puromycin-sensitive aminopeptidase"
"RAN","P62826","ENSG00000132341",5901,"GTP-binding nuclear protein Ran"
NA,"P28480",NA,NA,"T-complex protein 1 subunit alpha"
"HSP90AA1","P07900","ENSG00000080824",3320,"Heat shock protein HSP 90-alpha"
NA,"O70165",NA,NA,"Ficolin-1"
NA,"P60122",NA,NA,"RuvB-like 1"
"FARSA","Q9Y285","ENSG00000179115",2193,"Phenylalanine--tRNA ligase alpha subunit"
"P4HA1","P13674","ENSG00000122884",5033,"Prolyl 4-hydroxylase subunit alpha-1"
NA,"Q9R1T4",NA,NA,"Septin-6"
NA,"Q63429",NA,NA,"Polyubiquitin-C"
"KIF5C","O60282","ENSG00000168280",3800,"Kinesin heavy chain isoform 5C"
NA,"P50516",NA,NA,"V-type proton ATPase catalytic subunit A"
NA,"Q9ESN6",NA,NA,"Tripartite motif-containing protein 2"
NA,"O08553",NA,NA,"Dihydropyrimidinase-related protein 2"
NA,"P97879",NA,NA,"Glutamate receptor-interacting protein 1"
"HSPA6","P17066","ENSG00000173110",3310,"Heat shock 70 kDa protein 6"
"SNX4","O95219","ENSG00000114520",8723,"Sorting nexin-4"
"B3GNT9","Q6UX72","ENSG00000237172",84752,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"
"IPO11","Q9UI26","ENSG00000086200",51194,"Importin-11"
"KIF5B","P33176","ENSG00000170759",3799,"Kinesin-1 heavy chain"
"KIF3A","Q9Y496","ENSG00000131437",11127,"Kinesin-like protein KIF3A"
NA,"P27546",NA,NA,"Microtubule-associated protein 4"
NA,"Q99PJ1",NA,NA,"Protocadherin-15"
"DTL","Q9NZJ0","ENSG00000143476",51514,"Denticleless protein homolog"
"APC","P25054","ENSG00000134982",324,"Adenomatous polyposis coli protein"
"VIPR1","P32241","ENSG00000114812",7433,"Vasoactive intestinal polypeptide receptor 1"
"USP9X","Q93008","ENSG00000124486",8239,"Probable ubiquitin carboxyl-terminal hydrolase FAF-X"
NA,"O88277",NA,NA,"Protocadherin Fat 2"
"PKD1","P98161","ENSG00000008710",5310,"Polycystin-1"
