"symbol","uniprot","ensembl","entrez","name"
"A4GALT","Q9NPC4","ENSG00000128274",53947,"Lactosylceramide 4-alpha-galactosyltransferase"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"ADAM9","Q13443","ENSG00000168615",8754,"Disintegrin and metalloproteinase domain-containing protein 9"
"ADD3","Q9UEY8","ENSG00000148700",120,"Gamma-adducin"
"ADPRH","P54922","ENSG00000144843",141,"[Protein ADP-ribosylarginine] hydrolase"
NA,NA,NA,NA,NA
"AGER","Q15109","ENSG00000230514",177,"Advanced glycosylation end product-specific receptor"
"PDCD6-AHRR","A9YTQ3","ENSG00000288622",57491,"Aryl hydrocarbon receptor repressor"
NA,NA,NA,NA,NA
"AK8","Q96MA6","ENSG00000165695",158067,"Adenylate kinase 8"
"AKR7A2","O43488","ENSG00000053371",8574,"Aflatoxin B1 aldehyde reductase member 2"
"AKR7A3","O95154","ENSG00000162482",22977,"Aflatoxin B1 aldehyde reductase member 3"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"AMBP","P02760","ENSG00000106927",259,"Protein AMBP"
NA,NA,NA,NA,NA
"AP1S1","P61966","ENSG00000106367",1174,"AP-1 complex subunit sigma-1A"
"APOC2","P02655","ENSG00000234906",344,"Apolipoprotein C-II"
NA,NA,NA,NA,NA
"ARFGAP3","Q9NP61","ENSG00000242247",26286,"ADP-ribosylation factor GTPase-activating protein 3"
"ARID3C","A6NKF2","ENSG00000205143",138715,"AT-rich interactive domain-containing protein 3C"
"ARL3","P36405","ENSG00000138175",403,"ADP-ribosylation factor-like protein 3"
"ARVCF","O00192","ENSG00000099889",421,"Armadillo repeat protein deleted in velo-cardio-facial syndrome"
"ATP5F1C","P36542","ENSG00000165629",509,"ATP synthase subunit gamma, mitochondrial"
"ATP6V0D2","Q8N8Y2","ENSG00000147614",245972,"V-type proton ATPase subunit d 2"
"ATXN1","P54253","ENSG00000124788",6310,"Ataxin-1"
"AUNIP","Q9H7T9","ENSG00000127423",79000,"Aurora kinase A and ninein-interacting protein"
"AXDND1","Q5T1B0","ENSG00000162779",126859,"Axonemal dynein light chain domain-containing protein 1"
"AZU1","P20160","ENSG00000278624",566,"Azurocidin"
NA,NA,NA,NA,NA
"BIK","Q13323","ENSG00000100290",638,"Bcl-2-interacting killer"
"BOLA2","Q9H3K6","ENSG00000183336",552900,"BolA-like protein 2"
"BPIFA1","Q9NP55","ENSG00000198183",51297,"BPI fold-containing family A member 1"
"BPIFB1","Q8TDL5","ENSG00000125999",92747,"BPI fold-containing family B member 1"
"BRD9","Q9H8M2","ENSG00000028310",65980,"Bromodomain-containing protein 9"
"BSCL2","Q96G97","ENSG00000168000",26580,"Seipin"
"BTNL2","Q9UIR0","ENSG00000225845",56244,"Butyrophilin-like protein 2"
"VSIR","Q9H7M9","ENSG00000107738",64115,"V-type immunoglobulin domain-containing suppressor of T-cell activation"
"C12orf43","Q96C57","ENSG00000157895",64897,"Protein CUSTOS"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"MICOS13","Q5XKP0","ENSG00000174917",125988,"MICOS complex subunit MIC13"
"C1orf87","Q8N0U7","ENSG00000162598",127795,"Uncharacterized protein C1orf87"
"C1QTNF5","Q9BXJ0","ENSG00000223953",114902,"Complement C1q tumor necrosis factor-related protein 5"
"C2","P06681","ENSG00000206372",717,"Complement C2"
NA,NA,NA,NA,NA
"C22orf39","Q6P5X5","ENSG00000242259",128977,"UPF0545 protein C22orf39"
"C4orf33","Q8N1A6","ENSG00000151470",132321,"UPF0462 protein C4orf33"
"C4orf45","Q96LM5","ENSG00000164123",152940,"Uncharacterized protein C4orf45"
NA,NA,NA,NA,NA
"C6orf15","Q6UXA7","ENSG00000206461",29113,"Uncharacterized protein C6orf15"
"C6orf47","O95873","ENSG00000228177",57827,"Uncharacterized protein C6orf47"
"CYREN","Q9BWK5","ENSG00000122783",78996,"Cell cycle regulator of non-homologous end joining"
"C7orf50","Q9BRJ6","ENSG00000146540",84310,"Uncharacterized protein C7orf50"
"LUC7L2","Q9Y383","ENSG00000146963",51631,"Putative RNA-binding protein Luc7-like 2"
"PPDPFL","Q8WWR9","ENSG00000168333",492307,"Pancreatic progenitor cell differentiation and proliferation factor-like protein"
"C9orf16","Q9BUW7","ENSG00000171159",79095,"Bublin coiled-coil protein"
"SPACA9","Q96E40","ENSG00000165698",11092,"Sperm acrosome-associated protein 9"
"CAAP1","Q9H8G2","ENSG00000120159",79886,"Caspase activity and apoptosis inhibitor 1"
"CCDC127","Q96BQ5","ENSG00000164366",133957,"Coiled-coil domain-containing protein 127"
"CCT6A","P40227","ENSG00000146731",908,"T-complex protein 1 subunit zeta"
"CD302","Q8IX05","ENSG00000241399",9936,"CD302 antigen"
NA,NA,NA,NA,NA
"CEACAM6","P40199","ENSG00000086548",4680,"Carcinoembryonic antigen-related cell adhesion molecule 6"
"CEP120","Q8N960","ENSG00000168944",153241,"Centrosomal protein of 120 kDa"
"CEP72","Q9P209","ENSG00000112877",55722,"Centrosomal protein of 72 kDa"
"CFH","P08603","ENSG00000000971",3075,"Complement factor H"
"CHP2","O43745","ENSG00000166869",63928,"Calcineurin B homologous protein 2"
"CLIC6","Q96NY7","ENSG00000159212",54102,"Chloride intracellular channel protein 6"
"CNTD1","Q8N815","ENSG00000176563",124817,"Cyclin N-terminal domain-containing protein 1"
"COL10A1","Q03692","ENSG00000123500",1300,"Collagen alpha-1(X) chain"
"CPD","O75976","ENSG00000108582",1362,"Carboxypeptidase D"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"ERFL","A0A1W2PQ73","ENSG00000268041",390937,"ETS domain-containing transcription factor ERF-like"
NA,NA,NA,NA,NA
"CTRC","Q99895","ENSG00000162438",11330,"Chymotrypsin-C"
"CUX2","O14529","ENSG00000111249",23316,"Homeobox protein cut-like 2"
"CYP21A2","P08686","ENSG00000232414",1589,"Steroid 21-hydroxylase"
"DDAH2","O95865","ENSG00000226634",23564,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"
"DDX39B","Q13838","ENSG00000235439",7919,"Spliceosome RNA helicase DDX39B"
"DDX60","Q8IY21","ENSG00000137628",55601,"Probable ATP-dependent RNA helicase DDX60"
"DESI1","Q6ICB0","ENSG00000100418",27351,"Desumoylating isopeptidase 1"
"DGCR6","Q14129","ENSG00000183628",8214,"Protein DGCR6"
"DGCR8","Q8WYQ5","ENSG00000128191",54487,"Microprocessor complex subunit DGCR8"
NA,NA,NA,NA,NA
"DIS3L2","Q8IYB7","ENSG00000144535",129563,"DIS3-like exonuclease 2"
"DNAJB7","Q7Z6W7","ENSG00000172404",150353,"DnaJ homolog subfamily B member 7"
"DNMT3B","Q9UBC3","ENSG00000088305",1789,"DNA (cytosine-5)-methyltransferase 3B"
"DOT1L","Q8TEK3","ENSG00000104885",84444,"Histone-lysine N-methyltransferase, H3 lysine-79 specific"
"DSE","Q9UL01","ENSG00000111817",29940,"Dermatan-sulfate epimerase"
NA,NA,NA,NA,NA
"DUSP19","Q8WTR2","ENSG00000162999",142679,"Dual specificity protein phosphatase 19"
"EBLN2","Q6P2I7","ENSG00000255423",55096,"Endogenous Bornavirus-like nucleoprotein 2"
"EFNB3","Q15768","ENSG00000108947",1949,"Ephrin-B3"
"ELAVL2","Q12926","ENSG00000107105",1993,"ELAV-like protein 2"
"ESD","P10768","ENSG00000139684",2098,"S-formylglutathione hydrolase"
"EXOC3","O60645","ENSG00000180104",11336,"Exocyst complex component 3"
"F11","P03951","ENSG00000088926",2160,"Coagulation factor XI"
"FADS3","Q9Y5Q0","ENSG00000221968",3995,"Fatty acid desaturase 3"
"CALHM6","Q5R3K3","ENSG00000188820",441168,"Calcium homeostasis modulator protein 6"
"TLCD3A","Q8TBR7","ENSG00000167695",79850,"TLC domain-containing protein 3A"
"DIPK1B","Q5VUD6","ENSG00000165716",138311,"Divergent protein kinase domain 1B"
NA,NA,NA,NA,NA
"FGF20","Q9NP95","ENSG00000078579",26281,"Fibroblast growth factor 20"
"FKBPL","Q9UIM3","ENSG00000223666",63943,"FK506-binding protein-like"
"FOXP2","O15409","ENSG00000128573",93986,"Forkhead box protein P2"
"FRG1","Q14331","ENSG00000275145",2483,"Protein FRG1"
"FRK","P42685","ENSG00000111816",2444,"Tyrosine-protein kinase FRK"
"FRMPD1","Q5SYB0","ENSG00000070601",22844,"FERM and PDZ domain-containing protein 1"
"FRZB","Q92765","ENSG00000162998",2487,"Secreted frizzled-related protein 3"
"GAN","Q9H2C0","ENSG00000261609",8139,"Gigaxonin"
"GAS2L3","Q86XJ1","ENSG00000139354",283431,"GAS2-like protein 3"
"CASTOR1","Q8WTX7","ENSG00000239282",652968,"Cytosolic arginine sensor for mTORC1 subunit 1"
"NIPSNAP2","O75323","ENSG00000146729",2631,"Protein NipSnap homolog 2"
"GLTP","Q9NZD2","ENSG00000139433",51228,"Glycolipid transfer protein"
"GNA12","Q03113","ENSG00000146535",2768,"Guanine nucleotide-binding protein subunit alpha-12"
"GOSR1","O95249","ENSG00000108587",9527,"Golgi SNAP receptor complex member 1"
"GPBP1","Q86WP2","ENSG00000062194",65056,"Vasculin"
"GSTA4","O15217","ENSG00000170899",2941,"Glutathione S-transferase A4"
"GUCA1A","P43080","ENSG00000048545",2978,"Guanylyl cyclase-activating protein 1"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"HDHD2","Q9H0R4","ENSG00000167220",84064,"Haloacid dehalogenase-like hydrolase domain-containing protein 2"
"DNAAF5","Q86Y56","ENSG00000164818",54919,"Dynein axonemal assembly factor 5"
"MFSD14B","Q5SR56","ENSG00000148110",84641,"Hippocampus abundant transcript-like protein 1"
"HIC2","Q96JB3","ENSG00000169635",23119,"Hypermethylated in cancer 2 protein"
"HIGD2A","Q9BW72","ENSG00000146066",192286,"HIG1 domain family member 2A, mitochondrial"
"HLA-B","P01889","ENSG00000234745",3106,"HLA class I histocompatibility antigen, B alpha chain"
"HLA-DQA1","P01909","ENSG00000232062",3117,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
"HLA-DQA2","P01906","ENSG00000233192",3117,"HLA class II histocompatibility antigen, DQ alpha 2 chain"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"HLA-DQB2","P05538","ENSG00000230675",3120,"HLA class II histocompatibility antigen, DQ beta 2 chain"
"HLA-DRA","P01903","ENSG00000234794",3122,"HLA class II histocompatibility antigen, DR alpha chain"
"HLA-DRB1","P01911","ENSG00000196126",3123,"HLA class II histocompatibility antigen, DRB1 beta chain"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"HRK","O00198","ENSG00000135116",8739,"Activator of apoptosis harakiri"
"HSPB3","Q12988","ENSG00000169271",8988,"Heat shock protein beta-3"
"CILK1","Q9UPZ9","ENSG00000112144",22858,"Serine/threonine-protein kinase ICK"
"IER3IP1","Q9Y5U9","ENSG00000134049",51124,"Immediate early response 3-interacting protein 1"
"IFFO2","Q5TF58","ENSG00000169991",126917,"Intermediate filament family orphan 2"
"IFT74","Q96LB3","ENSG00000096872",80173,"Intraflagellar transport protein 74 homolog"
"IGSF5","Q9NSI5","ENSG00000183067",150084,"Immunoglobulin superfamily member 5"
"INHBE","P58166","ENSG00000139269",83729,"Inhibin beta E chain"
"INSC","Q1MX18","ENSG00000188487",387755,"Protein inscuteable homolog"
