"symbol","uniprot","ensembl","entrez","name"
"H2BC3","P33778","ENSG00000276410",3018,"Histone H2B type 1-B"
"H2BS1","P57053","ENSG00000234289",54145,"Histone H2B type F-S"
"H2BC12","O60814","ENSG00000197903",85236,"Histone H2B type 1-K"
"H2BC13","Q99880","ENSG00000185130",8340,"Histone H2B type 1-L"
"H2BU1","Q8N257","ENSG00000285449",128312,"Histone H2B type 3-B"
"H2BC21","Q16778","ENSG00000184678",8349,"Histone H2B type 2-E"
"H2BC17","P23527","ENSG00000274641",8348,"Histone H2B type 1-O"
"HIST1H2BC","B2R4S9",NA,NA,"Histone H2B"
"H2BC9","Q93079","ENSG00000275713",8345,"Histone H2B type 1-H"
"H2BC11","P06899","ENSG00000124635",8970,"Histone H2B type 1-J"
"H2BC5","P58876","ENSG00000158373",3017,"Histone H2B type 1-D"
"H2BC4","P62807","ENSG00000180596",8347,"Histone H2B type 1-C/E/F/G/I"
"H2BC18","Q5QNW6","ENSG00000203814",440689,"Histone H2B type 2-F"
"H2BC14","Q99879","ENSG00000273703",8342,"Histone H2B type 1-M"
"H2BC15","U3KQK0",NA,NA,"Histone H2B"
"H2BC1","Q96A08","ENSG00000146047",255626,"Histone H2B type 1-A"
"ACTB","P60709","ENSG00000075624",60,"Actin, cytoplasmic 1"
"TPM1","H0YKX5",NA,NA,"Tropomyosin alpha-1 chain"
"ACTG1","P63261","ENSG00000184009",71,"Actin, cytoplasmic 2"
"TPM3","A0A087WWU8",NA,NA,"Tropomyosin alpha-3 chain"
"DKFZp686J1372","Q5HYB6",NA,NA,"Epididymis luminal protein 189"
"MYL6","P60660","ENSG00000092841",4637,"Myosin light polypeptide 6"
"HSPA8","E9PNE6",NA,NA,"Heat shock cognate 71 kDa protein"
"TPM4","P67936","ENSG00000167460",7171,"Tropomyosin alpha-4 chain"
"ACTG2","P63267","ENSG00000163017",72,"Actin, gamma-enteric smooth muscle"
"TPM2","P07951","ENSG00000198467",7169,"Tropomyosin beta chain"
"ANXA2","P07355","ENSG00000182718",302,"Annexin A2"
"ACTA2","P62736","ENSG00000107796",59,"Actin, aortic smooth muscle"
"ACTC1","P68032","ENSG00000159251",70,"Actin, alpha cardiac muscle 1"
"ACTA1","P68133","ENSG00000143632",58,"Actin, alpha skeletal muscle"
"TFRC","H7C3V5",NA,NA,"Transferrin receptor protein 1"
"MYL6B","P14649","ENSG00000196465",140465,"Myosin light chain 6B"
"HNRNPC","B2R5W2",NA,NA,"Heterogeneous nuclear ribonucleoproteins C1/C2"
"HSPA7","P48741",NA,NA,"Putative heat shock 70 kDa protein 7"
"ANXA2P2","A6NMY6",NA,NA,"Putative annexin A2-like protein"
"CALM2","F8WBR5",NA,NA,"Calmodulin-2"
"CAPZA1","P52907","ENSG00000116489",829,"F-actin-capping protein subunit alpha-1"
"HSPA5","P11021","ENSG00000044574",3309,"Endoplasmic reticulum chaperone BiP"
"HSPA1B","A0A0G2JIW1",NA,NA,"Heat shock 70 kDa protein 1B"
"HSPA1A","P0DMV8","ENSG00000237724",3303,"Heat shock 70 kDa protein 1A"
"HSPA1L","Q53FA3",NA,NA,"HSPA1L"
"CALM1","M0QZ52",NA,NA,"Calmodulin 3 (Phosphorylase kinase, delta), isoform CRA_d"
"HSPA2","P54652","ENSG00000126803",3306,"Heat shock-related 70 kDa protein 2"
"HSPA6","P17066","ENSG00000173110",3310,"Heat shock 70 kDa protein 6"
"RPS8","P62241","ENSG00000142937",6202,"40S ribosomal protein S8"
"H1-4","P10412","ENSG00000168298",3008,"Histone H1.4"
"PTMA","P06454","ENSG00000187514",5757,"Prothymosin alpha"
"NPM1","P06748","ENSG00000181163",4869,"Nucleophosmin"
"HBB","P68871","ENSG00000244734",3043,"Hemoglobin subunit beta"
"YWHAQ","E9PG15",NA,NA,"14-3-3 protein theta"
"H1-2","P16403","ENSG00000187837",3006,"Histone H1.2"
NA,"P62158",NA,NA,NA
NA,"A0A087WZW8",NA,NA,NA
"LMNA","Q3BDU5",NA,NA,"Prelamin-A/C"
NA,"A0A087WWV8",NA,NA,NA
"SF1","Q15637","ENSG00000168066",7536,"Splicing factor 1"
"HNRNPA2B1","P22626","ENSG00000122566",3181,"Heterogeneous nuclear ribonucleoproteins A2/B1"
NA,"A0A087WYL9",NA,NA,NA
"CDSN","G8JLG2",NA,NA,"Corneodesmosin"
"ACTBL2","Q562R1","ENSG00000169067",345651,"Beta-actin-like protein 2"
"HSP90AB1","P08238","ENSG00000096384",3326,"Heat shock protein HSP 90-beta"
"UTS2","Q5H8X8",NA,NA,"Urotensin-2"
"CLTB","P09497","ENSG00000175416",1212,"Clathrin light chain B"
"EEF1D","E9PPR1",NA,NA,"Elongation factor 1-delta"
"CALD1","E9PGZ1",NA,NA,"Caldesmon"
"ACTN1","H0YJW3",NA,NA,"Alpha-actinin-1"
"HSP90AA1","P07900","ENSG00000080824",3320,"Heat shock protein HSP 90-alpha"
"CFL1","P23528","ENSG00000172757",1072,"Cofilin-1"
"HSP90AB2P","Q58FF8",NA,NA,"Putative heat shock protein HSP 90-beta 2"
"HMGB1","P09429","ENSG00000189403",3146,"High mobility group protein B1"
"POTEKP","Q9BYX7",NA,NA,"Putative beta-actin-like protein 3"
"RPS27A","J3QTR3",NA,NA,"Ubiquitin-40S ribosomal protein S27a"
"PLIN3","O60664","ENSG00000105355",10226,"Perilipin-3"
"LASP1","Q14847","ENSG00000002834",3927,"LIM and SH3 domain protein 1"
"YWHAB","P31946","ENSG00000166913",7529,"14-3-3 protein beta/alpha"
"HNRNPA1","F8W6I7",NA,NA,"Helix-destabilizing protein"
"FKBP12-Exin","Q1JUQ3",NA,NA,"FK506 binding protein12"
NA,"P0CG06",NA,NA,NA
NA,"P0CG05",NA,NA,NA
"IGLC6","P0CF74",NA,NA,"Immunoglobulin lambda constant 6"
"HMGB1P1","B2RPK0",NA,NA,"Putative high mobility group protein B1-like 1"
"CALML5","Q9NZT1","ENSG00000178372",51806,"Calmodulin-like protein 5"
"H1-3","P16402","ENSG00000124575",3007,"Histone H1.3"
"RPS21","P63220","ENSG00000171858",6227,"40S ribosomal protein S21"
"IGLC1","P0CG04",NA,NA,"Immunoglobulin lambda constant 1"
"SRSF2","J3QL05",NA,NA,"Serine/arginine-rich splicing factor 2"
"ARHGAP4","A0A0B4J1X7",NA,NA,"Rho GTPase activating protein 4, isoform CRA_c"
"YWHAZ","P63104","ENSG00000164924",7534,"14-3-3 protein zeta/delta"
"ACTN4","H7C144",NA,NA,"Alpha-actinin-4"
"MYL12B","O14950","ENSG00000118680",103910,"Myosin regulatory light chain 12B"
"HNRNPD","D6RAF8",NA,NA,"Heterogeneous nuclear ribonucleoprotein D0"
"H4C9","P62805","ENSG00000276180",8294,"Histone H4"
"TAGLN2","X6RJP6",NA,NA,"Transgelin-2"
"PRDX4","H7C3T4",NA,NA,"Peroxiredoxin-4"
"UBA52","P62987","ENSG00000221983",7311,"Ubiquitin-60S ribosomal protein L40"
"TRAP1","I3L239",NA,NA,"Heat shock protein 75 kDa, mitochondrial"
"MYL12A","J3QRS3",NA,NA,"Myosin regulatory light chain 12A"
"HSP90AB3P","Q58FF7",NA,NA,"Putative heat shock protein HSP 90-beta-3"
"ANP32A","H7BZ09",NA,NA,"Acidic leucine-rich nuclear phosphoprotein 32 family member A"
"HNRNPK","P61978","ENSG00000165119",3190,"Heterogeneous nuclear ribonucleoprotein K"
"POTEF","A5A3E0","ENSG00000196604",728378,"POTE ankyrin domain family member F"
"POTEE","Q6S8J3","ENSG00000188219",445582,"POTE ankyrin domain family member E"
