"symbol","uniprot","ensembl","entrez","name"
"ESYT2","A0FGR8","ENSG00000117868",57488,"Extended synaptotagmin-2"
"PLEKHG3","A1L390","ENSG00000126822",26030,"Pleckstrin homology domain-containing family G member 3"
"KRT87P","A6NCN2",NA,NA,"Putative keratin-87 protein"
"TUBAL3","A6NHL2","ENSG00000178462",79861,"Tubulin alpha chain-like 3"
"MYO1G","B0I1T2","ENSG00000136286",64005,"Unconventional myosin-Ig"
"IGLL5","B9A064","ENSG00000254709",100423062,"Immunoglobulin lambda-like polypeptide 5"
"IGLL5","B9A064","ENSG00000254709",100423062,"Immunoglobulin lambda-like polypeptide 5"
"IGLC1","P0CG04",NA,NA,"Immunoglobulin lambda constant 1"
"DDX39A","O00148","ENSG00000123136",10212,"ATP-dependent RNA helicase DDX39A"
"DDX39B","Q13838","ENSG00000235439",7919,"Spliceosome RNA helicase DDX39B"
"ACOT7","O00154","ENSG00000097021",11332,"Cytosolic acyl coenzyme A thioester hydrolase"
"MYO1C","O00159","ENSG00000197879",4641,"Unconventional myosin-Ic"
"PSMD12","O00232","ENSG00000197170",5718,"26S proteasome non-ATPase regulatory subunit 12"
"PGRMC1","O00264","ENSG00000101856",10857,"Membrane-associated progesterone receptor component 1"
"CLIC1","O00299","ENSG00000226651",1192,"Chloride intracellular channel protein 1"
"IPO5","O00410","ENSG00000065150",3843,"Importin-5"
"DDX3X","O00571","ENSG00000215301",1654,"ATP-dependent RNA helicase DDX3X"
"DDX3X","O00571","ENSG00000215301",1654,"ATP-dependent RNA helicase DDX3X"
"DDX3Y","O15523","ENSG00000067048",8653,"ATP-dependent RNA helicase DDX3Y"
"CCN1","O00622","ENSG00000142871",3491,"CCN family member 1"
"PSMA7","O14818","ENSG00000101182",5688,"Proteasome subunit alpha type-7"
"PSMA8","Q8TAA3","ENSG00000154611",143471,"Proteasome subunit alpha-type 8"
"MYL12B","O14950","ENSG00000118680",103910,"Myosin regulatory light chain 12B"
"PPP1R12A","O14974","ENSG00000058272",4659,"Protein phosphatase 1 regulatory subunit 12A"
"HNRNPDL","O14979","ENSG00000152795",9987,"Heterogeneous nuclear ribonucleoprotein D-like"
