"symbol","uniprot","ensembl","entrez","name"
"CDK1","P06493","ENSG00000170312",983,"Cyclin-dependent kinase 1"
"CDK1","P06493","ENSG00000170312",983,"Cyclin-dependent kinase 1"
"RPS9","P46781","ENSG00000275323",6203,"40S ribosomal protein S9"
"EHD1","Q9H4M9","ENSG00000110047",10938,"EH domain-containing protein 1"
"EHD3","Q9NZN3","ENSG00000013016",30845,"EH domain-containing protein 3"
"IGLC3","P0DOY3","ENSG00000211679",NA,"Immunoglobulin lambda constant 3"
"IGLC2","P0DOY2","ENSG00000211677",NA,"Immunoglobulin lambda constant 2"
NA,"P0CF74",NA,NA,"Immunoglobulin lambda constant 6"
NA,"A0M8Q6",NA,NA,"Immunoglobulin lambda constant 7"
"IGKV2D-29","A0A075B6S2","ENSG00000243264",NA,"Immunoglobulin kappa variable 2D-29"
"IGKV2D-26","A0A0A0MRZ7","ENSG00000211623",NA,"Immunoglobulin kappa variable 2D-26"
"IGKV2-40","A0A087WW87","ENSG00000273962",NA,"Immunoglobulin kappa variable 2-40"
"IGKV2D-40","P01614","ENSG00000251039",NA,"Immunoglobulin kappa variable 2D-40"
"IGKV2D-30","A0A075B6S6","ENSG00000239571",NA,"Immunoglobulin kappa variable 2D-30"
"IGKV2-30","P06310","ENSG00000281933",NA,"Immunoglobulin kappa variable 2-30"
"IGKV2D-28","P01615","ENSG00000242534",NA,"Immunoglobulin kappa variable 2D-28"
"CAPNS1","P04632","ENSG00000126247",826,"Calpain small subunit 1"
"UCHL3","P15374","ENSG00000118939",7347,"Ubiquitin carboxyl-terminal hydrolase isozyme L3"
"RAB1B","Q9H0U4","ENSG00000174903",81876,"Ras-related protein Rab-1B"
"RAB1A","P62820","ENSG00000138069",5861,"Ras-related protein Rab-1A"
"PABPC1","P11940","ENSG00000070756",26986,"Polyadenylate-binding protein 1"
"PABPC3","Q9H361","ENSG00000151846",5042,"Polyadenylate-binding protein 3"
"IGLL5","B9A064","ENSG00000254709",100423062,"Immunoglobulin lambda-like polypeptide 5"
NA,"P0CG04",NA,NA,"Immunoglobulin lambda constant 1"
"EHD4","Q9H223","ENSG00000103966",30844,"EH domain-containing protein 4"
"RPS24","P62847","ENSG00000138326",6229,"40S ribosomal protein S24"
"SPTBN1","Q01082","ENSG00000115306",6711,"Spectrin beta chain, non-erythrocytic 1"
"RPL10","P27635","ENSG00000147403",6134,"60S ribosomal protein L10"
"RPL10L","Q96L21","ENSG00000165496",140801,"60S ribosomal protein L10-like"
"SH3BGRL3","Q9H299","ENSG00000142669",83442,"SH3 domain-binding glutamic acid-rich-like protein 3"
"IGHG1","P01857","ENSG00000277633",NA,"Immunoglobulin heavy constant gamma 1"
"CLTC","Q00610","ENSG00000141367",1213,"Clathrin heavy chain 1"
"RRBP1","Q9P2E9","ENSG00000125844",6238,"Ribosome-binding protein 1"
"PRSS1","P07477","ENSG00000274247",5644,"Trypsin-1"
NA,"Q5NV56",NA,NA,"Anionic trypsinogen"
NA,"Q8NHM4",NA,NA,"Putative trypsin-6"
"PRSS2","P07478","ENSG00000282049",5645,"Trypsin-2"
"RPL17","P18621","ENSG00000265681",6139,"60S ribosomal protein L17"
NA,"A0A0A6YYL6",NA,NA,"60S ribosomal protein L17"
"TPM3","P06753","ENSG00000143549",7170,"Tropomyosin alpha-3 chain"
NA,"Q5HYB6",NA,NA,"Epididymis luminal protein 189"
"ADRM1","Q16186","ENSG00000130706",11047,"Proteasomal ubiquitin receptor ADRM1"
"KRTAP4-1","Q9BYQ7","ENSG00000198443",85285,"Keratin-associated protein 4-1"
"HSPA4","P34932","ENSG00000170606",3308,"Heat shock 70 kDa protein 4"
"WASHC2A","Q641Q2","ENSG00000099290",387680,"WASH complex subunit 2A"
"WASHC2C","Q9Y4E1","ENSG00000172661",253725,"WASH complex subunit 2C"
"GLUL","P15104","ENSG00000135821",2752,"Glutamine synthetase"
"SRP19","P09132","ENSG00000153037",6728,"Signal recognition particle 19 kDa protein"
"TPD52L2","O43399","ENSG00000101150",7165,"Tumor protein D54"
"PKP1","Q13835","ENSG00000081277",5317,"Plakophilin-1"
"RPS16","P62249","ENSG00000105193",6217,"40S ribosomal protein S16"
"ZNF90","Q03938","ENSG00000213988",7643,"Zinc finger protein 90"
"MARCKS","P29966","ENSG00000277443",4082,"Myristoylated alanine-rich C-kinase substrate"
"IGKV1D-33","P01593","ENSG00000239975",NA,"Immunoglobulin kappa variable 1D-33"
"HNRNPAB","Q99729","ENSG00000197451",3182,"Heterogeneous nuclear ribonucleoprotein A/B"
"IGKV3-11","P04433","ENSG00000282823",NA,"Immunoglobulin kappa variable 3-11"
"HYOU1","Q9Y4L1","ENSG00000280682",10525,"Hypoxia up-regulated protein 1"
"HNRNPM","P52272","ENSG00000099783",4670,"Heterogeneous nuclear ribonucleoprotein M"
"PSME2","Q9UL46","ENSG00000284889",5721,"Proteasome activator complex subunit 2"
"GSTP1","P09211","ENSG00000084207",2950,"Glutathione S-transferase P"
"PSMC6","P62333","ENSG00000100519",5706,"26S proteasome regulatory subunit 10B"
"KRT33B","Q14525","ENSG00000263012",3884,"Keratin, type I cuticular Ha3-II"
"RNF114","Q9Y508","ENSG00000124226",55905,"E3 ubiquitin-protein ligase RNF114"
"VDAC2","P45880","ENSG00000165637",7417,"Voltage-dependent anion-selective channel protein 2"
"AKAP9","Q99996","ENSG00000127914",10142,"A-kinase anchor protein 9"
"PCMT1","P22061","ENSG00000120265",5110,"Protein-L-isoaspartate(D-aspartate) O-methyltransferase"
"GSN","P06396","ENSG00000148180",2934,"Gelsolin"
"AGTR1","P30556","ENSG00000144891",185,"Type-1 angiotensin II receptor"
"PRDX1","Q06830","ENSG00000117450",5052,"Peroxiredoxin-1"
"HSPH1","Q92598","ENSG00000120694",10808,"Heat shock protein 105 kDa"
"PLS3","P13797","ENSG00000102024",5358,"Plastin-3"
"GPI","P06744","ENSG00000105220",2821,"Glucose-6-phosphate isomerase"
"IGLV9-49","A0A0B4J1Y8","ENSG00000223350",NA,"Immunoglobulin lambda variable 9-49"
"NAMPT","P43490","ENSG00000105835",10135,"Nicotinamide phosphoribosyltransferase"
"SET","Q01105","ENSG00000119335",6418,"Protein SET"
"SETSIP","P0DME0","ENSG00000230667",646817,"Protein SETSIP"
"RPSA","P08865","ENSG00000168028",3921,"40S ribosomal protein SA"
NA,NA,NA,NA,NA
"PNPLA8","Q9NP80","ENSG00000135241",50640,"Calcium-independent phospholipase A2-gamma"
"CAST","P20810","ENSG00000153113",831,"Calpastatin"
"CS","O75390","ENSG00000062485",1431,"Citrate synthase, mitochondrial"
"DUT","P33316","ENSG00000128951",1854,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
"HP","P00738","ENSG00000257017",3240,"Haptoglobin"
"HPR","P00739","ENSG00000261701",3250,"Haptoglobin-related protein"
"RPL30","P62888","ENSG00000156482",6156,"60S ribosomal protein L30"
"DDX3X","O00571","ENSG00000215301",1654,"ATP-dependent RNA helicase DDX3X"
"DDX3Y","O15523","ENSG00000067048",8653,"ATP-dependent RNA helicase DDX3Y"
"SPTAN1","Q13813","ENSG00000197694",6709,"Spectrin alpha chain, non-erythrocytic 1"
"LMNB1","P20700","ENSG00000113368",4001,"Lamin-B1"
"PPP1R18","Q6NYC8","ENSG00000230341",170954,"Phostensin"
"HSPA1B","P0DMV9","ENSG00000232804",3304,"Heat shock 70 kDa protein 1B"
"HSPA1A","P0DMV8","ENSG00000237724",3303,"Heat shock 70 kDa protein 1A"
"PSMB9","P28065","ENSG00000243958",5698,"Proteasome subunit beta type-9"
"SSBP1","Q04837","ENSG00000262771",6742,"Single-stranded DNA-binding protein, mitochondrial"
NA,"Q5SRQ3",NA,NA,"Casein kinase II subunit beta"
"CSNK2B","P67870","ENSG00000230700",1460,"Casein kinase II subunit beta"
NA,"N0E472",NA,NA,"Casein kinase II subunit beta"
NA,NA,NA,NA,NA
