"symbol","uniprot","ensembl","entrez","name"
"SLC3A2","P08195","ENSG00000168003",6520,"4F2 cell-surface antigen heavy chain"
"ABCD3","P28288","ENSG00000117528",5825,"ATP-binding cassette sub-family D member 3"
"ABCF1","Q8NE71","ENSG00000236149",23,"ATP-binding cassette sub-family F member 1"
"ACIN1","Q9UKV3","ENSG00000100813",22985,"Apoptotic chromatin condensation inducer in the nucleus"
"ACTBL2","Q562R1","ENSG00000169067",345651,"Beta-actin-like protein 2"
"ACTC1","P68032","ENSG00000159251",70,"Actin, alpha cardiac muscle 1"
"ACTG1","P63261","ENSG00000184009",71,"Actin, cytoplasmic 2"
"ACTN1","P12814","ENSG00000072110",87,"Alpha-actinin-1"
"ACTN4","O43707","ENSG00000282844",81,"Alpha-actinin-4"
"AFG3L2","Q9Y4W6","ENSG00000141385",10939,"AFG3-like protein 2"
"AGO2","Q9UKV8","ENSG00000123908",27161,"Protein argonaute-2"
"AGRN","O00468","ENSG00000188157",375790,"Agrin"
"ALKBH5","Q6P6C2","ENSG00000091542",54890,"RNA demethylase ALKBH5"
"ANKZF1","Q9H8Y5","ENSG00000163516",55139,"Ankyrin repeat and zinc finger domain-containing protein 1"
"ANXA2","P07355","ENSG00000182718",302,"Annexin A2"
"AP2A2","O94973","ENSG00000183020",161,"AP-2 complex subunit alpha-2"
"AP2S1","P53680","ENSG00000042753",1175,"AP-2 complex subunit sigma"
"AP3D1","O14617","ENSG00000065000",8943,"AP-3 complex subunit delta-1"
"ARL6IP4","Q66PJ3","ENSG00000182196",51329,"ADP-ribosylation factor-like protein 6-interacting protein 4"
"ARPC1A","Q92747","ENSG00000241685",10552,"Actin-related protein 2/3 complex subunit 1A"
"ARGLU1","Q9NWB6","ENSG00000134884",55082,"Arginine and glutamate-rich protein 1"
"ARHGEF2","Q92974","ENSG00000116584",9181,"Rho guanine nucleotide exchange factor 2"
"ARHGEF7","Q14155","ENSG00000102606",8874,"Rho guanine nucleotide exchange factor 7"
"ARID1A","O14497","ENSG00000117713",8289,"AT-rich interactive domain-containing protein 1A"
"ACTR3","P61158","ENSG00000115091",10096,"Actin-related protein 3"
