"symbol","uniprot","ensembl","entrez","name"
"AK3","Q9UIJ7","ENSG00000147853",50808,"GTP:AMP phosphotransferase AK3, mitochondrial"
"PANK2","Q9BZ23","ENSG00000125779",80025,"Pantothenate kinase 2, mitochondrial"
"CKM","P06732","ENSG00000104879",1158,"Creatine kinase M-type"
"COX7C","P15954","ENSG00000127184",1350,"Cytochrome c oxidase subunit 7C, mitochondrial"
"COX8A","P10176","ENSG00000176340",1351,"Cytochrome c oxidase subunit 8A, mitochondrial"
"SDHD","O14521","ENSG00000204370",6392,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"
"ACADS","P16219","ENSG00000122971",35,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
"GCKR","Q14397","ENSG00000084734",2646,"Glucokinase regulatory protein"
"NME3","Q13232","ENSG00000103024",4832,"Nucleoside diphosphate kinase 3"
"APC","P25054","ENSG00000134982",324,"Adenomatous polyposis coli protein"
"BRAF","P15056","ENSG00000157764",673,"Serine/threonine-protein kinase B-raf"
"CHUK","O15111","ENSG00000213341",1147,"Inhibitor of nuclear factor kappa-B kinase subunit alpha"
"LYN","P07948","ENSG00000254087",4067,"Tyrosine-protein kinase Lyn"
"MAP3K3","Q99759","ENSG00000198909",4215,"Mitogen-activated protein kinase kinase kinase 3"
"MAPK15","Q8TD08","ENSG00000274205",225689,"Mitogen-activated protein kinase 15"
"MAPK8","P45983","ENSG00000107643",5599,"Mitogen-activated protein kinase 8"
"MAPK9","P45984","ENSG00000050748",5601,"Mitogen-activated protein kinase 9"
"MTOR","P42345","ENSG00000198793",2475,"Serine/threonine-protein kinase mTOR"
"PPME1","Q9Y570","ENSG00000214517",51400,"Protein phosphatase methylesterase 1"
"PPP1R1B","Q9UD71","ENSG00000131771",84152,"Protein phosphatase 1 regulatory subunit 1B"
"PRKCD","Q05655","ENSG00000163932",5580,"Protein kinase C delta type"
"RGS10","O43665","ENSG00000148908",6001,"Regulator of G-protein signaling 10"
"DENND2B","P78524","ENSG00000166444",6764,"DENN domain-containing protein 2B"
"STK3","Q13188","ENSG00000104375",6788,"Serine/threonine-protein kinase 3"
"STK33","Q9BYT3","ENSG00000130413",65975,"Serine/threonine-protein kinase 33"
"STK35","Q8TDR2","ENSG00000125834",140901,"Serine/threonine-protein kinase 35"
"WNK3","Q9BYP7","ENSG00000196632",65267,"Serine/threonine-protein kinase WNK3"
"ACY3","Q96HD9","ENSG00000132744",91703,"N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)"
"B4GALT6","Q9UBX8","ENSG00000118276",9331,"Beta-1,4-galactosyltransferase 6"
"BTN2A1","Q7KYR7","ENSG00000112763",11120,"Butyrophilin subfamily 2 member A1"
"CHAT","P28329","ENSG00000070748",1103,"Choline O-acetyltransferase"
"CHI3L1","P36222","ENSG00000133048",1116,"Chitinase-3-like protein 1"
"CHID1","Q9BWS9","ENSG00000177830",66005,"Chitinase domain-containing protein 1"
"CYP2R1","Q6VVX0","ENSG00000186104",120227,"Vitamin D 25-hydroxylase"
"DERA","Q9Y315","ENSG00000023697",51071,"Deoxyribose-phosphate aldolase"
"DIO1","P49895","ENSG00000211452",1733,"Type I iodothyronine deiodinase"
"ENPP3","O14638","ENSG00000154269",5169,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 3"
"GSTO1","P78417","ENSG00000148834",9446,"Glutathione S-transferase omega-1"
"GYS2","P54840","ENSG00000111713",2998,"Glycogen [starch] synthase, liver"
"MEST","Q5EB52","ENSG00000106484",4232,"Mesoderm-specific transcript homolog protein"
"MVK","Q03426","ENSG00000110921",4598,"Mevalonate kinase"
"NAGK","Q9UJ70","ENSG00000124357",55577,"N-acetyl-D-glucosamine kinase"
"TRMT61A","Q96FX7","ENSG00000166166",115708,"tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A"
"UGCG","Q16739","ENSG00000148154",7357,"Ceramide glucosyltransferase"
"XYLB","O75191","ENSG00000093217",9942,"Xylulose kinase"
"BCL11B","Q9C0K0","ENSG00000127152",64919,"B-cell lymphoma/leukemia 11B"
"CCNI","Q14094","ENSG00000118816",10983,"Cyclin-I"
"CXCL13","O43927","ENSG00000156234",10563,"C-X-C motif chemokine 13"
"DYRK4","Q9NR20","ENSG00000010219",8798,"Dual specificity tyrosine-phosphorylation-regulated kinase 4"
"KLRC3","Q07444","ENSG00000205810",3823,"NKG2-E type II integral membrane protein"
"PRKD2","Q9BZL6","ENSG00000105287",25865,"Serine/threonine-protein kinase D2"
"PSKH1","P11801","ENSG00000159792",5681,"Serine/threonine-protein kinase H1"
"SNRK","Q9NRH2","ENSG00000163788",54861,"SNF-related serine/threonine-protein kinase"
"TNR","Q92752","ENSG00000116147",7143,"Tenascin-R"
"DGKI","O75912","ENSG00000157680",9162,"Diacylglycerol kinase iota"
"PLSCR3","Q9NRY6","ENSG00000284009",57048,"Phospholipid scramblase 3"
"ITPK1","Q13572","ENSG00000274958",3705,"Inositol-tetrakisphosphate 1-kinase"
"OCRL","Q01968","ENSG00000122126",4952,"Inositol polyphosphate 5-phosphatase OCRL"
"PI4KA","P42356","ENSG00000241973",5297,"Phosphatidylinositol 4-kinase alpha"
"PIK3CA","P42336","ENSG00000121879",5290,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
"PIP4K2A","P48426","ENSG00000150867",5305,"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha"
"CHST9","Q7L1S5","ENSG00000154080",83539,"Carbohydrate sulfotransferase 9"
"ADAMTS9","Q9P2N4","ENSG00000163638",56999,"A disintegrin and metalloproteinase with thrombospondin motifs 9"
"CAPN10","Q9HC96","ENSG00000142330",11132,"Calpain-10"
"DPP9","Q86TI2","ENSG00000142002",91039,"Dipeptidyl peptidase 9"
"SERPINB3","P29508","ENSG00000057149",6317,"Serpin B3"
"SPINT1","O43278","ENSG00000166145",6692,"Kunitz-type protease inhibitor 1"
"TRIM41","Q8WV44","ENSG00000146063",90933,"E3 ubiquitin-protein ligase TRIM41"
"TRIML2","Q8N7C3","ENSG00000179046",205860,"Probable E3 ubiquitin-protein ligase TRIML2"
"TRPC4AP","Q8TEL6","ENSG00000100991",26133,"Short transient receptor potential channel 4-associated protein"
