"symbol","uniprot","ensembl","entrez","name"
"PDCD6","O75340","ENSG00000249915",10016,"Programmed cell death protein 6"
"CDK1","P06493","ENSG00000170312",983,"Cyclin-dependent kinase 1"
"CDK1","P06493","ENSG00000170312",983,"Cyclin-dependent kinase 1"
"HDLBP","Q00341","ENSG00000115677",3069,"Vigilin"
"RPS9","P46781","ENSG00000275323",6203,"40S ribosomal protein S9"
"EHD1","Q9H4M9","ENSG00000110047",10938,"EH domain-containing protein 1"
"EHD3","Q9NZN3","ENSG00000013016",30845,"EH domain-containing protein 3"
"PSMA2","P25787","ENSG00000106588",5683,"Proteasome subunit alpha type-2"
"IGLV8-61","A0A075B6I0","ENSG00000211638",NA,"Immunoglobulin lambda variable 8-61"
"IGLV3-9","A0A075B6K5","ENSG00000211670",NA,"Immunoglobulin lambda variable 3-9"
"IGLC3","P0DOY3","ENSG00000211679",NA,"Immunoglobulin lambda constant 3"
"IGLC2","P0DOY2","ENSG00000211677",NA,"Immunoglobulin lambda constant 2"
NA,"P0CF74",NA,NA,"Immunoglobulin lambda constant 6"
NA,"A0M8Q6",NA,NA,"Immunoglobulin lambda constant 7"
"IGKV2D-29","A0A075B6S2","ENSG00000243264",NA,"Immunoglobulin kappa variable 2D-29"
"IGKV2D-26","A0A0A0MRZ7","ENSG00000211623",NA,"Immunoglobulin kappa variable 2D-26"
"IGKV2-40","A0A087WW87","ENSG00000273962",NA,"Immunoglobulin kappa variable 2-40"
"IGKV2D-40","P01614","ENSG00000251039",NA,"Immunoglobulin kappa variable 2D-40"
"IGKV2D-30","A0A075B6S6","ENSG00000239571",NA,"Immunoglobulin kappa variable 2D-30"
"IGKV2-30","P06310","ENSG00000281933",NA,"Immunoglobulin kappa variable 2-30"
"IGKV2D-28","P01615","ENSG00000242534",NA,"Immunoglobulin kappa variable 2D-28"
"CAPNS1","P04632","ENSG00000126247",826,"Calpain small subunit 1"
"TAF15","Q92804","ENSG00000276833",8148,"TATA-binding protein-associated factor 2N"
"RAB1B","Q9H0U4","ENSG00000174903",81876,"Ras-related protein Rab-1B"
"RAB1A","P62820","ENSG00000138069",5861,"Ras-related protein Rab-1A"
"KHSRP","Q92945","ENSG00000088247",8570,"Far upstream element-binding protein 2"
