"symbol","uniprot","ensembl","entrez","name"
"AADAT","Q8N5Z0","ENSG00000109576",51166,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
"ABAT","P80404","ENSG00000183044",18,"4-aminobutyrate aminotransferase, mitochondrial"
"ABCA1","O95477","ENSG00000165029",19,"Phospholipid-transporting ATPase ABCA1"
"ABCC6","O95255","ENSG00000275331",368,"ATP-binding cassette sub-family C member 6"
"ABHD1","Q96SE0","ENSG00000143994",84696,"Protein ABHD1"
"ABHD13","Q7L211","ENSG00000139826",84945,"Protein ABHD13"
"ABHD5","Q8WTS1","ENSG00000011198",51099,"1-acylglycerol-3-phosphate O-acyltransferase ABHD5"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"LVRN","Q6Q4G3","ENSG00000172901",206338,"Aminopeptidase Q"
"EIF2S3B","Q2VIR3","ENSG00000180574",255308,"Eukaryotic translation initiation factor 2 subunit 3B"
"ACAA2","P42765","ENSG00000167315",10449,"3-ketoacyl-CoA thiolase, mitochondrial"
"ACHE","P22303","ENSG00000087085",43,"Acetylcholinesterase"
"ACOXL","Q9NUZ1","ENSG00000153093",55289,"Acyl-coenzyme A oxidase-like protein"
"ACTL6B","O94805","ENSG00000077080",51412,"Actin-like protein 6B"
"ACTR3","P61158","ENSG00000115091",10096,"Actin-related protein 3"
"ADAM11","O75078","ENSG00000073670",4185,"Disintegrin and metalloproteinase domain-containing protein 11"
"ADAM21","Q9UKJ8","ENSG00000139985",8747,"Disintegrin and metalloproteinase domain-containing protein 21"
"ADAMTS14","Q8WXS8","ENSG00000138316",140766,"A disintegrin and metalloproteinase with thrombospondin motifs 14"
"ADAMTS7","Q9UKP4","ENSG00000136378",11173,"A disintegrin and metalloproteinase with thrombospondin motifs 7"
"ADK","P55263","ENSG00000156110",132,"Adenosine kinase"
"AEBP1","Q8IUX7","ENSG00000106624",165,"Adipocyte enhancer-binding protein 1"
"AGBL3","Q8NEM8","ENSG00000146856",340351,"Cytosolic carboxypeptidase 3"
"AGTRAP","Q6RW13","ENSG00000177674",57085,"Type-1 angiotensin II receptor-associated protein"
"AKAP5","P24588","ENSG00000179841",9495,"A-kinase anchor protein 5"
"ALDH9A1","P49189","ENSG00000143149",223,"4-trimethylaminobutyraldehyde dehydrogenase"
"ALPK2","Q86TB3","ENSG00000198796",115701,"Alpha-protein kinase 2"
"ALS2CL","Q60I27","ENSG00000178038",259173,"ALS2 C-terminal-like protein"
"ANKRD11","Q6UB99","ENSG00000167522",29123,"Ankyrin repeat domain-containing protein 11"
"ANKEF1","Q9NU02","ENSG00000132623",63926,"Ankyrin repeat and EF-hand domain-containing protein 1"
"AP2S1","P53680","ENSG00000042753",1175,"AP-2 complex subunit sigma"
"AP4S1","Q9Y587","ENSG00000100478",11154,"AP-4 complex subunit sigma-1"
"APBB1IP","Q7Z5R6","ENSG00000077420",54518,"Amyloid beta A4 precursor protein-binding family B member 1-interacting protein"
