"symbol","uniprot","ensembl","entrez","name","score","nsirna"
"A2M","P01023","ENSG00000175899",2,"Alpha-2-macroglobulin",0.289334142531065,2
"A4GALT","Q9NPC4","ENSG00000128274",53947,"Lactosylceramide 4-alpha-galactosyltransferase",0.517282150715857,3
"A4GNT","Q9UNA3","ENSG00000118017",51146,"Alpha-1,4-N-acetylglucosaminyltransferase",-0.413245418622115,3
"AACS","Q86V21","ENSG00000081760",65985,"Acetoacetyl-CoA synthetase",0.597986966879971,2
"AADAC","P22760","ENSG00000114771",13,"Arylacetamide deacetylase",-0.285174727758057,3
"AADAT","Q8N5Z0","ENSG00000109576",51166,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",0.426069225724491,3
"AAK1","Q2M2I8","ENSG00000115977",22848,"AP2-associated protein kinase 1",1.06760920070538,3
"AANAT","Q16613","ENSG00000129673",15,"Serotonin N-acetyltransferase",0.373803619608147,3
"AARS1","P49588","ENSG00000090861",16,"Alanine--tRNA ligase, cytoplasmic",0.142175050170506,2
"AARS2","Q5JTZ9","ENSG00000124608",57505,"Alanine--tRNA ligase, mitochondrial",-0.357722243709817,2
"AASDH","Q4L235","ENSG00000157426",132949,"Beta-alanine-activating enzyme",0.460147813594271,2
"AASDHPPT","Q9NRN7","ENSG00000149313",60496,"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",0.00932393981592998,3
"AASS","Q9UDR5","ENSG00000008311",10157,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",-0.127599394977476,3
"AATF","Q9NY61","ENSG00000276072",26574,"Protein AATF",0.285136326398932,3
"ABAT","P80404","ENSG00000183044",18,"4-aminobutyrate aminotransferase, mitochondrial",0.385237757181403,3
"ABCA1","O95477","ENSG00000165029",19,"Phospholipid-transporting ATPase ABCA1",-0.438737914803909,3
"ABCA10","Q8WWZ4","ENSG00000154263",10349,"ATP-binding cassette sub-family A member 10",-0.119186763626507,3
"ABCA12","Q86UK0","ENSG00000144452",26154,"Glucosylceramide transporter ABCA12",-0.412632674031371,3
"ABCA13","Q86UQ4","ENSG00000179869",154664,"ATP-binding cassette sub-family A member 13",0.0711360670459617,3
"ABCA2","Q9BZC7","ENSG00000107331",20,"ATP-binding cassette sub-family A member 2",-0.749822104011632,3
"ABCA3","Q99758","ENSG00000167972",21,"Phospholipid-transporting ATPase ABCA3",0.371243498918034,3
"ABCA4","P78363","ENSG00000198691",24,"Retinal-specific phospholipid-transporting ATPase ABCA4",0.52644327139928,3
"ABCA5","Q8WWZ7","ENSG00000154265",23461,"Cholesterol transporter ABCA5",-0.409972773780274,2
"ABCA6","Q8N139","ENSG00000154262",23460,"ATP-binding cassette sub-family A member 6",0.389779225610159,3
"ABCA7","Q8IZY2","ENSG00000064687",10347,"Phospholipid-transporting ATPase ABCA7",-0.14601474718586,3
"ABCA8","O94911","ENSG00000141338",10351,"ABC-type organic anion transporter ABCA8",0.273301780828053,3
"ABCA9","Q8IUA7","ENSG00000154258",10350,"ATP-binding cassette sub-family A member 9",-0.403093956660769,3
"ABCB1","P08183","ENSG00000085563",5243,"ATP-dependent translocase ABCB1",-0.46644556454234,3
"ABCB10","Q9NRK6","ENSG00000135776",23456,"ATP-binding cassette sub-family B member 10, mitochondrial",-0.127900529655591,3
"ABCB11","O95342","ENSG00000073734",8647,"Bile salt export pump",0.337084166921567,3
"ABCB4","P21439","ENSG00000005471",5244,"Phosphatidylcholine translocator ABCB4",0.777623259250928,3
"ABCB5","Q2M3G0","ENSG00000004846",340273,"ATP-binding cassette sub-family B member 5",-0.513038029564158,3
"ABCB6","Q9NP58","ENSG00000115657",10058,"ATP-binding cassette sub-family B member 6",0.874304696038651,3
"ABCB7","O75027","ENSG00000131269",22,"Iron-sulfur clusters transporter ABCB7, mitochondrial",0.395116933796579,3
"ABCB8","Q9NUT2","ENSG00000197150",11194,"Mitochondrial potassium channel ATP-binding subunit",-0.1550325693326,2
"ABCB9","Q9NP78","ENSG00000150967",23457,"ABC-type oligopeptide transporter ABCB9",0.611003826033703,3
"ABCC1","P33527","ENSG00000278183",4363,"Multidrug resistance-associated protein 1",-0.190482113629773,3
"ABCC10","Q5T3U5","ENSG00000124574",89845,"ATP-binding cassette sub-family C member 10",-0.717936941183226,3
"ABCC11","Q96J66","ENSG00000121270",85320,"ATP-binding cassette sub-family C member 11",0.600503008364977,3
"ABCC12","Q96J65","ENSG00000140798",94160,"ATP-binding cassette sub-family C member 12",-0.195648884844306,3
"ABCC2","Q92887","ENSG00000023839",1244,"ATP-binding cassette sub-family C member 2",-0.0836640374351512,3
"ABCC3","O15438","ENSG00000108846",8714,"ATP-binding cassette sub-family C member 3",-0.181678299699439,3
"ABCC4","O15439","ENSG00000125257",10257,"ATP-binding cassette sub-family C member 4",-0.259009164158654,3
"ABCC5","O15440","ENSG00000114770",10057,"Multidrug resistance-associated protein 5",-0.0593507272309983,3
"ABCC6","O95255","ENSG00000275331",368,"ATP-binding cassette sub-family C member 6",-0.0879296648803874,3
"ABCC8","Q09428","ENSG00000006071",6833,"ATP-binding cassette sub-family C member 8",0.422433324700812,3
"ABCC9","O60706","ENSG00000069431",10060,"ATP-binding cassette sub-family C member 9",-0.0333027351181013,3
"ABCD1","P33897","ENSG00000101986",215,"ATP-binding cassette sub-family D member 1",-0.481156990347982,3
"ABCD2","Q9UBJ2","ENSG00000173208",225,"ATP-binding cassette sub-family D member 2",-0.227826705828652,3
"ABCD3","P28288","ENSG00000117528",5825,"ATP-binding cassette sub-family D member 3",-0.160614463334965,3
"ABCD4","O14678","ENSG00000119688",5826,"Lysosomal cobalamin transporter ABCD4",-0.0174826953893063,3
"ABCE1","P61221","ENSG00000164163",6059,"ATP-binding cassette sub-family E member 1",-0.780991931002993,1
"ABCF1","Q8NE71","ENSG00000236149",23,"ATP-binding cassette sub-family F member 1",-0.230602328108257,3
"ABCF2-H2BE1","Q9UG63","ENSG00000285292",114483834,"ATP-binding cassette sub-family F member 2",-0.0171184307649744,3
"ABCF3","Q9NUQ8","ENSG00000161204",55324,"ATP-binding cassette sub-family F member 3",0.163640853869219,3
"ABCG1","P45844","ENSG00000160179",9619,"ATP-binding cassette sub-family G member 1",-0.178880399628168,3
"ABCG2","Q9UNQ0","ENSG00000118777",9429,"Broad substrate specificity ATP-binding cassette transporter ABCG2",0.0519131409142347,3
"ABCG4","Q9H172","ENSG00000172350",64137,"ATP-binding cassette sub-family G member 4",0.0856588013417269,3
"ABCG5","Q9H222","ENSG00000138075",64240,"ATP-binding cassette sub-family G member 5",-0.839639912385878,3
"ABCG8","Q9H221","ENSG00000143921",64241,"ATP-binding cassette sub-family G member 8",-0.214755005056566,3
"ABHD1","Q96SE0","ENSG00000143994",84696,"Protein ABHD1",-0.327939861045303,1
"ABHD11","Q8NFV4","ENSG00000106077",83451,"Protein ABHD11",0.0268868375330893,3
"ABHD14B","Q96IU4","ENSG00000114779",84836,"Protein ABHD14B",-0.153706728220263,2
"ABHD2","P08910","ENSG00000140526",11057,"Monoacylglycerol lipase ABHD2",-0.503577582601838,2
"ABHD3","Q8WU67","ENSG00000158201",171586,"Phospholipase ABHD3",0.570546212309329,2
"ABHD4","Q8TB40","ENSG00000100439",63874,"(Lyso)-N-acylphosphatidylethanolamine lipase",0.731864389157646,3
"ABHD5","Q8WTS1","ENSG00000011198",51099,"1-acylglycerol-3-phosphate O-acyltransferase ABHD5",0.654625385955382,2
"ABHD6","Q9BV23","ENSG00000163686",57406,"Monoacylglycerol lipase ABHD6",-0.280655908530683,2
"ABHD8","Q96I13","ENSG00000127220",79575,"Protein ABHD8",-0.169701459326087,2
"ABI2","Q9NYB9","ENSG00000138443",10152,"Abl interactor 2",0.135610222972175,2
"ABI3","Q9P2A4","ENSG00000108798",51225,"ABI gene family member 3",-0.3733615565253,2
"ABL1","P00519","ENSG00000097007",25,"Tyrosine-protein kinase ABL1",0.152960561659089,3
"ABL2","P42684","ENSG00000143322",27,"Tyrosine-protein kinase ABL2",-0.2072063181443,3
"ABLIM1","O14639","ENSG00000099204",3983,"Actin-binding LIM protein 1",-0.290364999625313,1
"ABLIM2","Q6H8Q1","ENSG00000163995",84448,"Actin-binding LIM protein 2",1.06389421562455,2
"ABLIM3","O94929","ENSG00000173210",22885,"Actin-binding LIM protein 3",-0.34027441033162,2
NA,"P16442",NA,NA,"Histo-blood group ABO system transferase",-0.369962826208856,3
"ABR","Q12979","ENSG00000276016",29,"Active breakpoint cluster region-related protein",0.633679232099449,2
"ABTB2","Q8N961","ENSG00000166016",25841,"Ankyrin repeat and BTB/POZ domain-containing protein 2",-0.303433275582937,2
"ACAA1","P09110","ENSG00000060971",30,"3-ketoacyl-CoA thiolase, peroxisomal",0.514351958694975,3
"ACAA2","P42765","ENSG00000167315",10449,"3-ketoacyl-CoA thiolase, mitochondrial",0.25198935486744,3
"ACACA","Q13085","ENSG00000275176",31,"Acetyl-CoA carboxylase 1",-0.00232400539020849,2
"ACACB","O00763","ENSG00000076555",32,"Acetyl-CoA carboxylase 2",0.113105086750414,2
"ACAD10","Q6JQN1","ENSG00000111271",80724,"Acyl-CoA dehydrogenase family member 10",-0.683700625574738,2
"ACAD11","Q709F0","ENSG00000240303",84129,"Acyl-CoA dehydrogenase family member 11",-1.2582884413403,2
"ACAD8","Q9UKU7","ENSG00000151498",27034,"Isobutyryl-CoA dehydrogenase, mitochondrial",0.00568075945537835,3
"ACAD9","Q9H845","ENSG00000177646",28976,"Complex I assembly factor ACAD9, mitochondrial",-0.0596831201683729,3
"ACADL","P28330","ENSG00000115361",33,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",0.0420544545167474,3
"ACADM","P11310","ENSG00000117054",34,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.329281478489031,3
"ACADS","P16219","ENSG00000122971",35,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.155290711633622,3
"ACADSB","P45954","ENSG00000196177",36,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",0.3872281515096,3
"ACADVL","P49748","ENSG00000072778",37,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.00941809830452363,3
"ACAP1","Q15027","ENSG00000288169",9744,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",-0.0802553873562974,3
"ACAP2","Q15057","ENSG00000114331",23527,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",-0.0202191846390928,1
"ACAP3","Q96P50","ENSG00000131584",116983,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3",0.02108367163848,3
"ACAT1","P24752","ENSG00000075239",38,"Acetyl-CoA acetyltransferase, mitochondrial",0.638173111325941,3
"ACAT2","Q9BWD1","ENSG00000120437",39,"Acetyl-CoA acetyltransferase, cytosolic",0.167702149875519,3
"ACCS","Q96QU6","ENSG00000110455",84680,"1-aminocyclopropane-1-carboxylate synthase-like protein 1",0.341877825852903,2
"ACE","P12821","ENSG00000159640",1636,"Angiotensin-converting enzyme",0.551711671110621,3
"ACE2","Q9BYF1","ENSG00000130234",59272,"Angiotensin-converting enzyme 2",-0.0745104498586661,3
"ACER1","Q8TDN7","ENSG00000167769",125981,"Alkaline ceramidase 1",0.351865152500277,2
"ACER3","Q9NUN7","ENSG00000078124",55331,"Alkaline ceramidase 3",0.0546902976316851,2
"ACHE","P22303","ENSG00000087085",43,"Acetylcholinesterase",0.134472877160978,2
"ACKR1","Q16570","ENSG00000213088",2532,"Atypical chemokine receptor 1",0.158058800319829,2
"ACKR2","O00590","ENSG00000144648",1238,"Atypical chemokine receptor 2",-0.400303832995779,3
"ACKR3","P25106","ENSG00000144476",57007,"Atypical chemokine receptor 3",0.444084752371113,3
"ACKR4","Q9NPB9","ENSG00000129048",51554,"Atypical chemokine receptor 4",-0.174234913033695,3
"ACLY","P53396","ENSG00000131473",47,"ATP-citrate synthase",0.64031822024911,3
"ACMSD","Q8TDX5","ENSG00000153086",130013,"2-amino-3-carboxymuconate-6-semialdehyde decarboxylase",-0.020944005935989,2
"ACO1","P21399","ENSG00000122729",48,"Cytoplasmic aconitate hydratase",0.251423929738849,2
"ACO2","Q99798","ENSG00000100412",50,"Aconitate hydratase, mitochondrial",-0.05539506848175,2
