"symbol","uniprot","ensembl","entrez","name","geneset"
"AHSA1","O95433","ENSG00000100591",10598,"Activator of 90 kDa heat shock protein ATPase homolog 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"BAG1","Q99933","ENSG00000107262",573,"BAG family molecular chaperone regulator 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"BAG3","O95817","ENSG00000151929",9531,"BAG family molecular chaperone regulator 3","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"CFTR","P13569","ENSG00000001626",1080,"Cystic fibrosis transmembrane conductance regulator","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"CANX","P27824","ENSG00000283777",821,"Calnexin","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"DNAJC5","Q9H3Z4","ENSG00000101152",80331,"DnaJ homolog subfamily C member 5","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"DNAJB6","O75190","ENSG00000105993",10049,"DnaJ homolog subfamily B member 6","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"EDEM1","Q92611","ENSG00000134109",9695,"ER degradation-enhancing alpha-mannosidase-like protein 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"ERP29","P30040","ENSG00000089248",10961,"Endoplasmic reticulum resident protein 29","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"FKBP8","Q14318","ENSG00000105701",23770,"Peptidyl-prolyl cis-trans isomerase FKBP8","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"GANAB","Q14697","ENSG00000089597",23193,"Neutral alpha-glucosidase AB","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPH1","Q92598","ENSG00000120694",10808,"Heat shock protein 105 kDa","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"DNAJB1","P25685","ENSG00000132002",3337,"DnaJ homolog subfamily B member 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA1L","P34931","ENSG00000236251",3305,"Heat shock 70 kDa protein 1-like","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA14","Q0VDF9","ENSG00000187522",51182,"Heat shock 70 kDa protein 14","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA1A","P0DMV8","ENSG00000237724",3303,"Heat shock 70 kDa protein 1A","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA1B","P0DMV9","ENSG00000232804",3304,"Heat shock 70 kDa protein 1B","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA2","P54652","ENSG00000126803",3306,"Heat shock-related 70 kDa protein 2","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA4","P34932","ENSG00000170606",3308,"Heat shock 70 kDa protein 4","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA5","P11021","ENSG00000044574",3309,"Endoplasmic reticulum chaperone BiP","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA6","P17066","ENSG00000173110",3310,"Heat shock 70 kDa protein 6","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
NA,NA,NA,NA,NA,"MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA8","P11142","ENSG00000109971",3312,"Heat shock cognate 71 kDa protein","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPA9","P38646","ENSG00000113013",3313,"Stress-70 protein, mitochondrial","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSP90AA1","P07900","ENSG00000080824",3320,"Heat shock protein HSP 90-alpha","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSP90AB1","P08238","ENSG00000096384",3326,"Heat shock protein HSP 90-beta","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"HSPBP1","Q9NZL4","ENSG00000133265",23640,"Hsp70-binding protein 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"DNAJA1","P31689","ENSG00000086061",3301,"DnaJ homolog subfamily A member 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"MAN1B1","Q9UKM7","ENSG00000177239",11253,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"STT3A","P46977","ENSG00000134910",3703,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"STT3B","Q8TCJ2","ENSG00000163527",201595,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"DAD1","P61803","ENSG00000129562",1603,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"DDOST","P39656","ENSG00000244038",1650,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"RPN1","P04843","ENSG00000163902",6184,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"RPN2","P04844","ENSG00000118705",6185,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"PARP1","P09874","ENSG00000143799",142,"Poly [ADP-ribose] polymerase 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"STIP1","P31948","ENSG00000168439",10963,"Stress-induced-phosphoprotein 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"UGGT1","Q9NYU2","ENSG00000136731",56886,"UDP-glucose:glycoprotein glucosyltransferase 1","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"PTGES3","Q15185","ENSG00000110958",10728,"Prostaglandin E synthase 3","MetaMiner: CFTR folding and maturation, norm and CF (“Folding”)"
"ADH5","P11766","ENSG00000197894",128,"Alcohol dehydrogenase class-3","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"CFTR","P13569","ENSG00000001626",1080,"Cystic fibrosis transmembrane conductance regulator","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"CP","P00450","ENSG00000047457",1356,"Ceruloplasmin","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"DNAJC5","Q9H3Z4","ENSG00000101152",80331,"DnaJ homolog subfamily C member 5","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
